segment_id,total_feminicide,total_homicide,total_felony_murder,total_bodily_harm,total_theft_cellphone,total_armed_robbery_cellphone,total_theft_auto,total_armed_robbery_auto
167825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
167827,0.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0
167828,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0
167830,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
167834,0.0,0.0,0.0,0.0,0.0,10.0,0.0,5.0
167836,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0
167838,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0
167839,0.0,0.0,0.0,0.0,5.0,0.0,0.0,10.0
167840,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
167841,0.0,0.0,0.0,0.0,5.0,10.0,5.0,10.0
167842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
167844,0.0,0.0,0.0,0.0,0.0,5.0,0.0,10.0
167848,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
167849,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0
167850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
167855,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0
167862,0.0,5.0,0.0,0.0,75.0,390.0,25.0,450.0
167878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
167879,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
167880,0.0,0.0,0.0,0.0,10.0,15.0,5.0,5.0
167881,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
167889,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
167895,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
167899,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
167900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
167902,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
167903,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
167904,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0
167908,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
167909,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0
167924,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0
167925,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0
